English	Swedish	POS	source	row
		N?	ACM-klassificering-1998-en-sv.xls	1474
		N?	ICT-keywords-20141203.xlsx	2078
		N?	ICT-keywords-20141203.xlsx	2354
		N?	ICT-keywords-20141203.xlsx	2757
 Computing Milieux 	Databehandlingsmiljö	N?	ACM-klassificering-1998-en-sv.xls	1337
 Data 	Data	N?	ACM-klassificering-1998-en-sv.xls	534
 Generalized multi-protocol label switching (GMPLS)		N?	ICT-keywords-20141203.xlsx	0
 Hardware 	Maskinvara	N?	ACM-klassificering-1998-en-sv.xls	9
 Information Systems 	Informationssystem	N?	ACM-klassificering-1998-en-sv.xls	811
 Mathematics of Computing 		N?	ACM-klassificering-1998-en-sv.xls	662
 Theory of Computation 	Databehandlingens teori/Datalogi/Datavetenskap	N?	ACM-klassificering-1998-en-sv.xls	567
"""a lot"" ""lots of"""	"""mycket av"" ""massor av"""	N?	ICT-keywords-20141203.xlsx	1
"""energy efficiency"" ""energy-efficient"""	"energieffektivisering/energieffektivitet ""energieffektiva"""	N?	ICT-keywords-20141203.xlsx	1037
"""real time"" real-time "	realtid	N?	ICT-keywords-20141203.xlsx	2702
"ad hoc [Latin: ""for this"" (purpose/task/...)]"	till detta	N?	ICT-keywords-20141203.xlsx	60
"Uncertainty, ""fuzzy,'' and probabilistic reasoning "	"Osäkra, ""oskarpa"" och probabilistiska resonemang"	N?	ACM-klassificering-1998-en-sv.xls	1023
(Eclipse’s) Graphical Modeling Project (GMP)		N?	ICT-keywords-20141203.xlsx	2
(U.S.) Federal Information Processing Standards (FIPS) 		N?	ICT-keywords-20141203.xlsx	1189
* Indicates that the classification is no longer used as of January 1991, but that the item is still searchable for previously classified documents.		N?	ACM-klassificering-1998-en-sv.xls	1475
** Indicates that the classification is no longer used as of January 1998, but that the item is still searchable for previously classified documents.		N?	ACM-klassificering-1998-en-sv.xls	1476
1 pulse per second	1 puls per sekund	N?	ICT-keywords-20141203.xlsx	4
2D method	2D-metod	N?	ICT-keywords-20141203.xlsx	5
