APTerm abstract_APCSE	abstract	abstrakt, abstraktt, abstrakta
APTerm acoustic_APCSE	acoustic	akustisk, akustiskt, akustiska
APTerm active_APCSE	active	aktiv, aktivt, aktiva
APTerm adaptive_APCSE	adaptive	adaptiv, adaptivt, adaptiva
APTerm additional_APCSE	additional	ytterligare, ytterligare, ytterligare
APTerm administrative_APCSE	administrative	administrativa, administrativa, administrativa
APTerm agile_APCSE	agile	agil, agil, agila
APTerm algebraic_APCSE	algebraic	algebraisk, algebraiskt, algebraiska
APTerm algorithmic_APCSE	algorithmic	algoritmisk, algoritmiskt, algoritmiska
APTerm analytical_APCSE	analytical	analytisk, analytiskt, analytiska
APTerm anisotropic_APCSE	anisotropic	anisotrop, anisotropt, anisotropa
APTerm antecedent_APCSE	antecedent	tidigare, tidigare, tidigare
APTerm architectural_APCSE	architectural	arkitekturell, arkitekturellt, arkitekturella
APTerm artificial_APCSE	artificial	artificiell, artificiellt, artificiella
APTerm associative_APCSE	associative	associativ, associativt, associativa
APTerm asymmetric_APCSE	asymmetric	assymetrisk, assymetriskt, assymetriska
APTerm asymptotic_APCSE	asymptotic	asymptotisk, asymptotiskt, asymptotiska
APTerm asynchronous_APCSE	asynchronous	asynkron, asynkront, asynkrona
APTerm automated_APCSE	automated	automatiserad, automatiserat, automatiserade
APTerm autonomous_APCSE	autonomous	självstyrande, självstyrande, självstyrande
APTerm available_APCSE	available	tillgänglig, tillgängligt, tillgängliga
APTerm average_APCSE	average	genomsnittlig, genomsnittligt, genomsnittliga
APTerm axial_APCSE	axial	axial, axialt, axiala
APTerm basic_APCSE	basic	grundläggande, grundläggande, grundläggande
APTerm bidirectional_APCSE	bidirectional	dubbelriktad, dubbelriktat, dubbelriktade
APTerm binary_APCSE	binary	binär, binärt, binära
APTerm bipolar_APCSE	bipolar	bipolär, bipolärt, bipolära
APTerm boolean_APCSE	boolean	boolesk, booleskt, booleska
APTerm categorical_APCSE	categorical	kategorisk, kategoriskt, kategoriska
APTerm characteristic_APCSE	characteristic	karaktäristisk, karaktäristiskt, karaktäristiska
APTerm chief_APCSE	chief	högsta, högsta, högsta
APTerm classless_APCSE	classless	klasslös, klasslöst, klasslösa
APTerm combinatorial_APCSE	combinatorial	kombinatorisk, kombinatoriskt, kombinatoriska
APTerm commercial_APCSE	commercial	kommersiell, kommersiellt, kommersiella
APTerm common_APCSE	common	vanlig, vanligt, vanliga
APTerm comparable_APCSE	comparable	jämförbar, jämförbart, jämförbara
APTerm compatible_APCSE	compatible	kompatibel, kompatibelt, kompatibla
APTerm complex_APCSE	complex	komplex, komplext, komplexa
APTerm component_APCSE	component	del, delt, dela
APTerm compulsory_APCSE	compulsory	obligatorisk, obligatoriskt, obligatoriska
APTerm computable_APCSE	computable	beräkningsbar, beräkningsbart, beräkningsbara
APTerm computational_APCSE	computational	beräkning, beräkningt, beräkninga
APTerm conceptual_APCSE	conceptual	begreppsmässig, begreppsmässigt, begreppsmässiga
APTerm concrete_APCSE	concrete	konkret, konkret, konkreta
APTerm concurrent_APCSE	concurrent	samverkande, samverkande, samverkande
APTerm conditional_APCSE	conditional	villkorlig, villkorligt, villkorliga
APTerm consistent_APCSE	consistent	konsekvent, konsekvent, konsekventa
APTerm constant_APCSE	constant	konstant, konstant, konstanta
APTerm continual_APCSE	continual	ständig, ständigt, ständiga
APTerm continuous_APCSE	continuous	kontinuerlig, kontinuerligt, kontinuerliga
APTerm cooperative_APCSE	cooperative	samverkande, samverkande, samverkande
APTerm current_APCSE	current	nurvarande, nurvarande, nurvarande
APTerm cyclic_APCSE	cyclic	cyklisk, cykliskt, cykliska
APTerm definitive_APCSE	definitive	avgörande, avgörande, avgörande
APTerm descriptive_APCSE	descriptive	beskrivande, beskrivande, beskrivande
APTerm desirable_APCSE	desirable	önskvärd, önskvärt, önskvärda
APTerm deterministic_APCSE	deterministic	deterministisk, deterministiskt, deterministiska
APTerm different_APCSE	different	annorlunda, annorlunda, annorlunda
APTerm differentiable_APCSE	differentiable	differentierbar, differentierbart, differentierbara
APTerm digital_APCSE	digital	digital, digitalt, digitala
APTerm dimensional_APCSE	dimensional	dimensionell, dimensionellt, dimensionella
APTerm directional_APCSE	directional	riktad, riktat, riktade
APTerm discreet_APCSE	discreet	diskret, diskret, diskreta
APTerm discrete_APCSE	discrete	diskret, diskret, diskreta
APTerm discretionary_APCSE	discretionary	oinskränkt, oinskränkt, oinskränkta
APTerm dual_APCSE	dual	dubbel, dubbelt, dubbla
APTerm dynamic_APCSE	dynamic	dynamisk, dynamiskt, dynamiska
APTerm effective_APCSE	effective	effektiv, effektivt, effektiva
APTerm efficient_APCSE	efficient	effektiv, effektivt, effektiva
APTerm electrical_APCSE	electrical	elektrisk, elektriskt, elektriska
APTerm electromagnetic_APCSE	electromagnetic	elektromagnetisk, elektromagnetiskt, elektromagnetiska
APTerm electronic_APCSE	electronic	elektronisk, elektroniskt, elektroniska
APTerm elliptic_APCSE	elliptic	elliptisk, elliptiskt, elliptiska
APTerm empirical_APCSE	empirical	empirisk, empiriskt, empiriska
APTerm essential_APCSE	essential	essentiell, essentiellt, essentiella
APTerm executable_APCSE	executable	exekverbar, exekverbart, exekverbara
APTerm explicit_APCSE	explicit	tydlig, tydligt, tydliga
APTerm exterior_APCSE	exterior	yttre, yttre, yttre
APTerm external_APCSE	external	yttre, yttre, yttre
APTerm extreme_APCSE	extreme	extrem, extremt, extrema
APTerm false_APCSE	false	falsk, falskt, falska
APTerm fast_APCSE	fast	snabb, snabbt, snabba
APTerm finite_APCSE	finite	ändlig, ändligt, ändliga
APTerm fluid_APCSE	fluid	flytande, flytande, flytande
APTerm formal_APCSE	formal	formell, formellt, formella
APTerm free_APCSE	free	fri, fritt, fria
APTerm full_APCSE	full	full, fullt, fulla
APTerm functional_APCSE	functional	funktionell, funktionellt, funktionella
APTerm fundamental_APCSE	fundamental	fundamental, fundamentalt, fundamentala
APTerm future_APCSE	future	framtida, framtida, framtida
APTerm general_APCSE	general	allmän, allmänt, allmänna
APTerm generative_APCSE	generative	generativ, generativt, generativa
APTerm generic_APCSE	generic	generisk, generiskt, generiska
APTerm genetic_APCSE	genetic	generisk, generiskt, generiska
APTerm geographic_APCSE	geographic	geografisk, geografiskt, geografiska
APTerm geometric_APCSE	geometric	geometrisk, geometriskt, geometriska
APTerm global_APCSE	global	global, globalt, globala
APTerm good_APCSE	good	bra, bra, bra
APTerm graphic_APCSE	graphic	grafisk, grafiskt, grafiska
APTerm graphical_APCSE	graphical	grafisk, grafiskt, grafiska
APTerm hard_APCSE	hard	svår, svårt, svåra
APTerm hierarchical_APCSE	hierarchical	hierarkisk, hierarkiskt, hierarkiska
APTerm high_APCSE	high	hög, högt, höga
APTerm immutable_APCSE	immutable	oföränderlig, oföränderligt, oföränderliga
APTerm imperative_APCSE	imperative	imperativ, imperativt, imperativa
APTerm incremental_APCSE	incremental	inkrementell, inkrementellt, inkrementella
APTerm independent_APCSE	independent	oberoende, oberoende, oberoende
APTerm indirect_APCSE	indirect	indirekt, indirekt, indirekta
